  -81666372983891.328       -44318959518681.125       -5546227649705.0049        645411925960.32739     
 -0.65473738643313673       0.96412134901946978       -1.8218558103980098      -0.16008578106973181        1.8563386544094811      -0.82967573179782128       0.49227321598693047     
 -0.62652442776887640       0.92290253446595283       -1.7447272404200975      -0.15246785340760274        1.7775654604866944      -0.79484800067091088       0.47178682606055333     
 -0.59967151304969879       0.88365530879010334       -1.6712522343122076      -0.14525057451144982        1.7025325357119137      -0.76165611680855561       0.45225437446500732     
 -0.57410619725801604       0.84627546303280488       -1.6012395253609781      -0.13841088750491048        1.6310436129946002      -0.73001516659576238       0.43362677085086127     
 -0.54976026013012314       0.81066481071383012       -1.5345088049591225      -0.13192717716919133        1.5629136925114386      -0.69984505878507774       0.41585768957556823     
 -0.52656943239693665       0.77673081594701299       -1.4708900366956910      -0.12577916915059784        1.4979683426114394      -0.67107022694908181       0.39890340091824134     
 -0.50447315265037951       0.74438623630832745       -1.4102228257154903      -0.11994784509914556        1.4360430413880041      -0.64361935304248807       0.38272261136481306     
 -0.48341433172482223       0.71354879874216193       -1.3523558196199690      -0.11441535378406470        1.3769825671294393      -0.61742510853618737       0.36727631740510608     
 -0.46333914053616743       0.68414088649884597       -1.2971461608596004      -0.10916493532492014        1.3206404301610495      -0.59242391029395569       0.35252766801189489     
 -0.44419680264121936       0.65608925831754861       -1.2444589681709977      -0.10418085301070498        1.2668783354727371      -0.56855569648358495       0.33844183454615523     
 -0.42593941113396422       0.62932478037290795       -1.1941668488284189       -9.9448320305356996E-002   1.2155656883095010      -0.54576371377321853       0.32498589227024249     
 -0.40852175245272793       0.60378217145167967       -1.1461494536476664       -9.4953442682805630E-002   1.1665791280342985      -0.52399431996556423       0.31212870485701855     
 -0.39190113748749056       0.57939977612128668       -1.1002930504806299       -9.0683159186509266E-002   1.1198020920756453      -0.50319679909932957       0.29984082146542568     
 -0.37603725432359836       0.55611934247322792       -1.0564901294868883       -8.6625186160735390E-002   1.0751244120805930      -0.48332318758045839       0.28809437559398560     
 -0.36089202102531437       0.53388581842981309       -1.0146390368244003       -8.2767971908048452E-002   1.0324419297103358      -0.46432811231890980       0.27686299471166459     
 -0.34642945227191690       0.51264716403558197      -0.97464362284538753       -7.9100644389474117E-002  0.99165614333237406      -0.44616863968935822       0.26612171046604760     
 -0.33261553660972631       0.49235416704528112      -0.93641292478543148       -7.5612972066498377E-002  0.95267387389410596      -0.42880413132575085       0.25584688090002988     
 -0.31941811408652265       0.47296028223749753      -0.89986085857855391       -7.2295321529851755E-002  0.91540695231150870      -0.41219611293231284       0.24601611173322957     
 -0.30680677212899182       0.45442147023736784      -0.86490593685090167       -6.9138620643167614E-002  0.87977192714240637      -0.39630814805896603       0.23660818447955462     
 -0.29475273880063374       0.43669605314995680      -0.83147100104454208       -6.6134321559707235E-002  0.84568979107078834      -0.38110572097358836       0.22760299188603750     
 -0.28322878878332269       0.41974457526994652      -0.79948297449264971       -6.3274370055027340E-002  0.81308572421037151      -0.36655612691222772       0.21898147228903056     
 -0.27220915089603742       0.40352967768991932      -0.76887262524253430       -6.0551175000876770E-002  0.78188885117973572      -0.35262836923488505       0.21072555223771738     
 -0.26166942733798870       0.38801597439566243      -0.73957434616888518       -5.7957576291028871E-002  0.75203201819442023      -0.33929306250059488       0.20281808919695610     
 -0.25158651129829895       0.37316993864484144      -0.71152595303367583       -5.5486822794188623E-002  0.72345157931366366      -0.32652234049835294       0.19524282186657368     
 -0.24193851211726750       0.35895980130858540      -0.68466848561540172       -5.3132544715340881E-002  0.69608719722280388      -0.31428977275731002       0.18798431844928162     
 -0.23270469024828416       0.34535544575135269      -0.65894602904544719       -5.0888730648688388E-002  0.66988165729703664      -0.30257028281367770       0.18102793279118076     
 -0.22386538648056761       0.33232831743001545      -0.63430554242720316       -4.8749705778406704E-002  0.64478069217306877      -0.29134007356797875       0.17435975926756950     
 -0.21540196394897232       0.31985133496426632      -0.61069669901621559       -4.6710112723819794E-002  0.62073281607850150      -0.28057655616321842       0.16796659388074245     
 -0.20729674898921735       0.30789880863553193      -0.58807173366102627       -4.4764890512525253E-002  0.59768917115904019      -0.27025828347399550       0.16183589397392981     
 -0.19953297852696683       0.29644636073043484      -0.56638530365562456       -4.2909258922188588E-002  0.57560338032547576      -0.26036488770160732       0.15595574371715992     
 -0.19209474700483478       0.28547085528400412      -0.54559435284975399       -4.1138699130546338E-002  0.55443141277040675      -0.25087702071329776       0.15031481950659950     
